id,u,v,name,road_type,distance_km,avg_speed_kmh,slope_deg,base_vulnerability,soil_factor,district_context,geometry
e_guw_nongpoh,guwahati_hub,nongpoh,Guwahati - Nongpoh Expressway (NH-6),National Highway 4-Lane,52.0,60,4.5,0.20,0.35,Ri-Bhoi,"26.1445,91.7362;26.0820,91.7820;26.0110,91.8240;25.9038,91.8797"
e_nongpoh_shillong,nongpoh,shillong_hub,Nongpoh - Shillong Ghat Section (NH-6),National Highway Hill Section,48.0,45,12.8,0.35,0.50,East Khasi Hills,"25.9038,91.8797;25.8120,91.9010;25.6890,91.8840;25.5788,91.8933"
e_shillong_cherra,shillong_hub,cherrapunjee,Shillong - Sohra Scenic Highway (SH-5),State Highway,54.0,35,18.5,0.65,0.85,East Khasi Hills,"25.5788,91.8933;25.4850,91.8210;25.3900,91.7650;25.2702,91.7323"
e_shillong_mawsynram,shillong_hub,mawsynram,Shillong - Mawsynram Hill Arterial,District Hill Road,60.0,30,21.0,0.75,0.90,East Khasi Hills,"25.5788,91.8933;25.4600,91.7400;25.3620,91.6420;25.2986,91.5822"
e_cherra_mawsynram,cherrapunjee,mawsynram,Sohra - Mawsynram Ridge Trail Road,Rural Mountain Link,28.0,22,24.0,0.80,0.92,East Khasi Hills,"25.2702,91.7323;25.2840,91.6500;25.2986,91.5822"
e_shillong_jowai,shillong_hub,jowai,Shillong - Jowai Highway (NH-6),National Highway,64.0,50,9.2,0.30,0.40,West Jaintia Hills,"25.5788,91.8933;25.5340,92.0520;25.4980,92.1400;25.4526,92.2035"
e_jowai_khliehriat,jowai,khliehriat,Jowai - Khliehriat Corridor (NH-6),National Highway,38.0,45,14.0,0.55,0.70,East Jaintia Hills,"25.4526,92.2035;25.4120,92.2900;25.3564,92.3683"
e_khliehriat_lumshnong,khliehriat,lumshnong,Khliehriat - Lumshnong Canyon Passage (NH-6),National Highway High Hazard,24.0,35,22.5,0.82,0.88,East Jaintia Hills,"25.3564,92.3683;25.2650,92.3750;25.1764,92.3820"
e_lumshnong_sonapur,lumshnong,sonapur_tunnel,Lumshnong - Sonapur Landslide Zone (NH-6),National Highway Chronic Landslide Sector,16.0,25,26.0,0.90,0.95,East Jaintia Hills,"25.1764,92.3820;25.1430,92.3710;25.1147,92.3619"
e_sonapur_badarpur,sonapur_tunnel,badarpur,Sonapur - Badarpur Gateway (NH-6),National Highway,42.0,40,10.0,0.45,0.60,Karimganj,"25.1147,92.3619;25.0120,92.4500;24.9450,92.5300;24.8964,92.5931"
e_badarpur_silchar,badarpur,silchar_hub,Badarpur - Silchar Expressway (NH-37 / NH-6),National Highway Plains,28.0,55,2.0,0.25,0.40,Cachar,"24.8964,92.5931;24.8620,92.6840;24.8170,92.7926"
e_jowai_dawki,jowai,dawki,Jowai - Amlarem - Dawki Road (SH-8),State Highway Scenic,55.0,35,16.0,0.50,0.65,West Jaintia Hills,"25.4526,92.2035;25.3200,92.1200;25.1874,92.0163"
e_shillong_nongstoin,shillong_hub,nongstoin,Shillong - Nongstoin Highway (NH-106),National Highway West Corridor,93.0,50,8.0,0.28,0.35,West Khasi Hills,"25.5788,91.8933;25.5500,91.5600;25.5173,91.2689"
e_jowai_umrangso,jowai,umrangso,Jowai - Umrangso Interstate Alternate,Interstate Hill Road Bypass,72.0,40,11.5,0.40,0.55,Dima Hasao,"25.4526,92.2035;25.4800,92.4800;25.5133,92.7481"
e_umrangso_haflong,umrangso,haflong,Umrangso - Haflong Mountain Bypass,State Mountain Highway,68.0,38,15.0,0.45,0.60,Dima Hasao,"25.5133,92.7481;25.3200,92.8900;25.1667,93.0167"
e_haflong_silchar,haflong,silchar_hub,Haflong - Harangajao - Silchar (NH-27 Mahur Bypass),East-West Corridor Hill Section,102.0,45,13.5,0.48,0.58,Dima Hasao,"25.1667,93.0167;24.9800,92.9200;24.8170,92.7926"
